filename,status,output_file,error
262875_PtSn_OCO_Abu_1.xdi,ok,262875_PtSn_OCO_Abu_1.jsonld,
262878_PtSn_OCA_Abu_1.xdi,ok,262878_PtSn_OCA_Abu_1.jsonld,
262882_PtSn_OC_Abu_1.xdi,ok,262882_PtSn_OC_Abu_1.jsonld,
262885_PtSn_OCH_Abu_1.xdi,ok,262885_PtSn_OCH_Abu_1.jsonld,
262919_PtSn_OCO_H2_Abu_1.xdi,ok,262919_PtSn_OCO_H2_Abu_1.jsonld,
262922_PtSn_OCA_H2_Abu_1.xdi,ok,262922_PtSn_OCA_H2_Abu_1.jsonld,
262926_PtSn_OC_H2_Abu_1.xdi,ok,262926_PtSn_OC_H2_Abu_1.jsonld,
262929_PtSn_OCH_H2_Abu_1.xdi,ok,262929_PtSn_OCH_H2_Abu_1.jsonld,
263814_PtSn_OCA_1.xdi,ok,263814_PtSn_OCA_1.jsonld,
263820_PtSn_OC_1.xdi,ok,263820_PtSn_OC_1.jsonld,
263824_PtSn_OCH_1.xdi,ok,263824_PtSn_OCH_1.jsonld,
263825_PtSn_OCH_2.xdi,ok,263825_PtSn_OCH_2.jsonld,
263832_PtSn_alloy_1.xdi,ok,263832_PtSn_alloy_1.jsonld,
263838_PtSn_3_1_EG_1.xdi,ok,263838_PtSn_3_1_EG_1.jsonld,
263844_PtSn_OCO_1.xdi,ok,263844_PtSn_OCO_1.jsonld,
263935_PtSn_Alloy_H2_1.xdi,ok,263935_PtSn_Alloy_H2_1.jsonld,
263941_PtSn_EG_H2_1.xdi,ok,263941_PtSn_EG_H2_1.jsonld,
b18_nxs.xdi,ok,b18_nxs.jsonld,
co_metal_rt.xdi,ok,co_metal_rt.jsonld,
cu_metal_10K.xdi,ok,cu_metal_10K.jsonld,
cu_metal_rt.xdi,ok,cu_metal_rt.jsonld,
fe2o3_rt.xdi,ok,fe2o3_rt.jsonld,
fe3c_rt.xdi,ok,fe3c_rt.jsonld,
fe_metal_rt.xdi,ok,fe_metal_rt.jsonld,
fen_rt.xdi,ok,fen_rt.jsonld,
feo_rt1.xdi,ok,feo_rt1.jsonld,
ni_metal_rt.xdi,ok,ni_metal_rt.jsonld,
nonxafs_1d.xdi,ok,nonxafs_1d.jsonld,
nonxafs_2d.xdi,ok,nonxafs_2d.jsonld,
pt_metal_rt.xdi,ok,pt_metal_rt.jsonld,
Se_Na2SeO4_rt_01.xdi,ok,Se_Na2SeO4_rt_01.jsonld,
se_na2so4_rt.xdi,ok,se_na2so4_rt.jsonld,
se_znse_rt.xdi,ok,se_znse_rt.jsonld,
valid.xdi,ok,valid.jsonld,
valid2.xdi,ok,valid2.jsonld,
valid_angle_dspacing.xdi,ok,valid_angle_dspacing.jsonld,
zn_znse_rt.xdi,ok,zn_znse_rt.jsonld,
